EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
108	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Ascites	ts	Malignant ascites - ovarian cancer	Protein|miRNA	Western blotting|Immunoelectron microscopy	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (EpCAM, CD24)	Exosomes
109	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Malignant pleural effusions	ts	Pleural effusions - breast cancer	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (EpCAM)	Exosomes
110	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Ascites	ts	Ascites - liver cirrhosis	Protein|miRNA	Western blotting|Immunoelectron microscopy	2011	Differential centrifugation|Sucrose density gradient	Exosomes
111	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Serum	ts	Serum - breast cancer	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient|Immunobeads (CD24)	Exosomes
112	21601258	Homo sapiens	Loss of EpCAM expression in breast cancer derived serum exosomes: Role of proteolytic cleavage.	Serum	ts	Serum - Normal	Protein|miRNA	Western blotting	2011	Differential centrifugation|Sucrose density gradient	Exosomes
113	21557262	Homo sapiens	Proteomic identification of exosomal LRG1: A potential urinary biomarker for detecting NSCLC.	Urine	ts	Urine - Normal	Protein	Mass spectrometry|Western blotting	2011	Differential centrifugation|Ultracentrifugation	Exosomes
114	21557262	Homo sapiens	Proteomic identification of exosomal LRG1: A potential urinary biomarker for detecting NSCLC.	Urine	ts	Urine - Lung cancer	Protein	Mass spectrometry|Western blotting	2011	Differential centrifugation|Ultracentrifugation	Exosomes
115	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	T cells	cl	J77	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
116	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	B cells	cl	Raji	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
117	21505438	Homo sapiens	Unidirectional transfer of microRNA-loaded exosomes from T cells to antigen-presenting cells.	Dendritic cells	ts	Dendritic cells	Protein|miRNA	Mass spectrometry|Microarray	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
118	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Tabecular meshwork cells	ts	Tabecular meshwork cells	Protein	Mass spectrometry [LTQ]|Western blotting	2011	Differential centrifugation|Sucrose density gradient	Exosomes
119	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Urine	ts	Urine - Normal	Protein	Mass spectrometry [LTQ]|Western blotting	2011	Differential centrifugation|Sucrose density gradient	Exosomes
120	21362503	Homo sapiens	Protein profile of exosomes from trabecular meshwork cells.	Aqueous humor	ts	Aqueous humor - Normal	Protein	Western blotting	2011	Differential centrifugation|Sucrose density gradient	Exosomes
121	21276792	Homo sapiens	Morphologic and proteomic characterization of exosomes released by cultured extravillous trophoblast cells.	Trophoblast cells	cl	Sw71	Protein	Mass spectrometry [Orbitrap]|Western blotting	2011	Differential centrifugation|Ultrafiltration|Ultracentrifugation|Density gradient centrifugation	Exosomes
122	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Saliva	ts	Saliva - Normal	Protein	FACS|Immunoelectron microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
123	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Plasma	ts	Plasma - Normal	Protein	FACS|Immunoelectron microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
124	21235781	Homo sapiens	Human saliva, plasma and breast milk exosomes contain RNA: uptake by macrophages.	Breast milk	ts	Breast milk - normal	Protein	FACS|Immunoelectron microscopy|Western blotting	2011	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
125	21059916	Homo sapiens	Human tumor virus utilizes exosomes for intercellular communication.	Nasopharyngeal carcinoma cells	cl	C666	Protein	Western blotting	2010	Differential centrifugation	Exosomes
126	0	Homo sapiens	Mesenchymal Stem Cell Exosomes: The Future MSC-based Therapy?	Mesenchymal stem cells	cl	huES9.E1	Protein	Western blotting|Antibody array|Mass spectrometry	2011	HPLC	Exosomes
127	21828046	Rattus norvegicus	Proteolipidic Composition of Exosomes Changes during Reticulocyte Maturation	Reticulocytes	ts	Reticulocytes	Protein|Lipids	Gas chromatography|High performance thin layer chromatography	2011	Differential centrifugation|Ultracentrifugation|Density gradient centrifugation	Exosomes
128	14965343	Homo sapiens	Mast cell- and dendritic cell-derived exosomes display a specific lipid composition and an unusual membrane organization	Dendritic cells	ts	Bone marrow - Dendritic cells	Lipids	High performance liquid chromatography|Gas chromatography	2004	Differential centrifugation|Ultracentrifugation	Exosomes
129	14965343	Rattus norvegicus	Mast cell- and dendritic cell-derived exosomes display a specific lipid composition and an unusual membrane organization	Tumoral  mast cells	cl	RBL-2H3	Lipids	High performance liquid chromatography|Gas chromatography	2004	Differential centrifugation|Ultracentrifugation	Exosomes
130	18309083	Mus musculus	Ceramide triggers budding of exosome vesicles into multivesicular endosomes	Oligodendrocytes	cl	Oli-neu cells 	Protein|Lipids	Western blotting|Mass spectrometry[QTOF]	2008	Differential centrifugation|Sucrose density gradient	Exosomes
131	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Ascites	ts	Malignant ascites - Ovarian cancer	Protein|Lipids	Cytofluorographic analysis|Annexin V-FITC|Western blotting|FACS	2009	Differential centrifugation|Sucrose density gradient	Exosomes
132	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Ovarian cancer cells	cl	OVMz	Protein|Lipids	Cytofluorographic analysis|Annexin V-FITC|FACS	2009	Differential centrifugation|Sucrose density gradient	Exosomes
133	19188015	Homo sapiens	Systemic presence and tumor-growth promoting effect of ovarian carcinoma released exosomes	Ovarian cancer cells	cl	SKOV3ip	Protein|Lipids	Cytofluorographic analysis|Annexin V-FITC|FACS	2009	Differential centrifugation|Sucrose density gradient	Exosomes
134	15304316	Rattus norvegicus	PLD2 is enriched on exosomes and its activity is correlated to the release of exosomes	Basophilic leukemia cells	cl	RBL-2H3	Protein|Lipids	Western blotting|FACS	2004	Differential centrifugation	Exosomes
135	2777884	Cavia porcellus	Asymmetric Distribution of Phospholipids in the Membrane of Vesicles Released During In Vitro Maturation of Guinea Pig Reticulocytes: Evidence Precluding a Role for Aminophospholipid Translocase	Reticulocytes	ts	Reticulocytes - Normal	Proteins|Lipids	Immunoelectron microscopy|Thin layer chromatography|Western blotting	1989	Differential centrifugation|Ultracentrifugation	Exosomes
136	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	PC3 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
137	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	PC3 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
138	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	DU145 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
139	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	DU145 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
140	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	VCaP - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
141	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	VCaP - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
142	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	LNCaP - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
143	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	LNCaP - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
144	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	C4-2 - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
145	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	C4-2 - Rep 3	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
146	22723089	Homo sapiens	Exosomes as biomarker enriched microvesicles: characterization of exosomal proteins derived from a panel of prostate cell lines with distinct AR phenotypes.	Prostate cancer cells	cl	RWPE - Rep 2	Protein	Mass spectrometry [QTOF]	2012	Sucrose density gradient	Exosomes
151	22075275	Homo sapiens	Methodology for isolation, identification and characterization of microvesicles in peripheral blood	Plasma	ts	Plasma - Normal	Protein	FACS	2011	Differential centrifugation|Filtration|Ultracentrifugation	Microvesicles
152	22064971	Homo sapiens	Oxidized low-density lipoprotein-dependent platelet-derived microvesicles trigger procoagulant effects and amplify oxidative stress	Platelets	ts	Platelets	Protein	FACS|ELISA	2011	Differential centrifugation	Microvesicles
153	22022598	Homo sapiens	Syncytiotrophoblast microvesicles released from pre-eclampsia placentae exhibit increased tissue factor activity	Placenta	ts	Placenta	Protein	FACS	2011	Differential centrifugation	Microvesicles
154	21966536	Mus musculus	Leukocyte- and platelet-derived microvesicle interactions following in vitro and in vivo activation of toll-like receptor 4 by lipopolysaccharide	Plasma	ts	Plasma - Normal	Protein	FACS	2011	Differential centrifugation|Filtration	Microvesicles
155	21939504	Homo sapiens	Microvesicles secreted by macrophages shuttle invasion-potentiating microRNAs into breast cancer cells	Macrophages	ts	Macrophages - Unactivated	miRNA	RT-PCR	2011	Differential centrifugation|Filtration|Ultracentrifugation	Microvesicles
156	21939504	Homo sapiens	Microvesicles secreted by macrophages shuttle invasion-potentiating microRNAs into breast cancer cells	Macrophages	ts	Macrophages - IL-4 activated	miRNA	RT-PCR	2011	Differential centrifugation|Filtration|Ultracentrifugation	Microvesicles
157	21630462	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer ascites	Ascites	ts	Malignant ascites - Colorectal cancer patient 1	Protein	Mass spectrometry [LTQ]	2011	Differential centrifugation|Sucrose density gradient|OptiPrep density gradient	Microvesicles
158	21630462	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer ascites	Ascites	ts	Malignant ascites - Colorectal cancer patient 2	Protein	Mass spectrometry [LTQ]	2011	Differential centrifugation|Sucrose density gradient|OptiPrep density gradient	Microvesicles
159	21630462	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer ascites	Ascites	ts	Malignant ascites - Colorectal cancer patient 3	Protein	Mass spectrometry [LTQ]	2011	Differential centrifugation|Sucrose density gradient|OptiPrep density gradient	Microvesicles
160	21630462	Homo sapiens	Proteomic analysis of microvesicles derived from human colorectal cancer ascites	Ascites	ts	Malignant ascites - Colorectal cancer	Protein	Western blotting	2011	Differential centrifugation|Sucrose density gradient|OptiPrep density gradient	Microvesicles
161	21901833	Drosophila melanogaster	Proteomics analyses of microvesicles released by Drosophila Kc167 and S2 cells	Hematocytes	cl	Kc167	Protein|PTM Ubiquitination	Western blotting|Mass spectrometry [HCT ETD II iontrap]	2011	Differential centrifugation|Sucrose density gradient|Ultracentrifugation	Microvesicles
162	21901833	Drosophila melanogaster	Proteomics analyses of microvesicles released by Drosophila Kc167 and S2 cells	Hematocytes	cl	S2	Protein|PTM Ubiquitination	Western blotting|Mass spectrometry [HCT ETD II iontrap]	2011	Differential centrifugation|Sucrose density gradient|Ultracentrifugation	Microvesicles
163	21901833	Drosophila melanogaster	Proteomics analyses of microvesicles released by Drosophila Kc167 and S2 cells	Hematocytes	cl	S2-tub-wg	Protein	Western blotting|Immunoelectron microscopy	2011	Differential centrifugation|Sucrose density gradient|Ultracentrifugation	Microvesicles
164	21864488	Homo sapiens	Marrow cell genetic phenotype change induced by human lung cancer cells	Lung cancer cells	ts	Lung cancer cells - patient 1	mRNA	RT-PCR	2011	Differential centrifugation|Ultracentrifugation	Microvesicles
165	21864488	Homo sapiens	Marrow cell genetic phenotype change induced by human lung cancer cells	Lung cancer cells	ts	Lung cancer cells - patient 2	mRNA	RT-PCR	2011	Differential centrifugation|Ultracentrifugation	Microvesicles
166	21864488	Homo sapiens	Marrow cell genetic phenotype change induced by human lung cancer cells	Lung cancer cells	ts	Lung cancer cells - patient 3	mRNA	RT-PCR	2011	Differential centrifugation|Ultracentrifugation	Microvesicles
